Tme (s),Position (m)
0,-0.185
0.05,-0.19
0.1,-0.175
0.15,-0.143
0.2,-0.095
0.25,-0.037
0.3,0.024
0.35,0.082
0.4,0.131
0.45,0.166
0.5,0.184
0.55,0.181
0.6,0.16
0.65,0.121
0.7,0.07
0.75,0.012
0.8,-0.048
0.85,-0.103
0.9,-0.147
0.95,-0.176
1,-0.186
1.05,-0.176
1.1,-0.149
1.15,-0.106
1.2,-0.051
1.25,0.008
1.3,0.065
1.35,0.116
1.4,0.155
1.45,0.176
1.5,0.179
1.55,0.163
1.6,0.129
1.65,0.082
1.7,0.026
1.75,-0.032
1.8,-0.088
1.85,-0.134
1.9,-0.166
1.95,-0.18
2,-0.176
2.05,-0.154
2.1,-0.115
2.15,-0.064
2.2,-0.008
2.25,0.049
2.3,0.101
2.35,0.143
2.4,0.168
2.45,0.176
2.5,0.165
2.55,0.136
2.6,0.093
2.65,0.04
2.7,-0.017
2.75,-0.072
2.8,-0.12
2.85,-0.155
2.9,-0.174
2.95,-0.175
3,-0.157
3.05,-0.123
3.1,-0.076
3.15,-0.022
3.2,0.034
3.25,0.087
3.3,0.13
3.35,0.159
3.4,0.171
3.45,0.165
3.5,0.141
3.55,0.103
3.6,0.053
3.65,-0.002
3.7,-0.057
3.75,-0.106
3.8,-0.144
3.85,-0.167
3.9,-0.172
3.95,-0.159
4,-0.13
4.05,-0.087
4.1,-0.036
4.15,0.02
4.2,0.072
4.25,0.117
4.3,0.149
4.35,0.165
4.4,0.164
4.45,0.145
4.5,0.111
4.55,0.065
4.6,0.012
4.65,-0.042
4.7,-0.092
4.75,-0.132
4.8,-0.158
4.85,-0.168
4.9,-0.16
4.95,-0.136
5,-0.097
5.05,-0.048
5.1,0.005
5.15,0.057
5.2,0.104
5.25,0.138
5.3,0.159
5.35,0.162
5.4,0.148
5.45,0.117
5.5,0.076
5.55,0.025
5.6,-0.028
5.65,-0.078
5.7,-0.12
5.75,-0.149
5.8,-0.163
5.85,-0.16
5.9,-0.14
5.95,-0.105
6,-0.06
6.05,-0.008
6.1,0.044
6.15,0.09
6.2,0.128
6.25,0.151
6.3,0.158
6.35,0.149
6.4,0.123
6.45,0.085
6.5,0.037
6.55,-0.014
6.6,-0.064
6.65,-0.108
6.7,-0.14
6.75,-0.157
6.8,-0.158
6.85,-0.142
6.9,-0.112
6.95,-0.07
7,-0.021
7.05,0.03
7.1,0.077
7.15,0.116
7.2,0.143
7.25,0.154
7.3,0.149
7.35,0.128
7.4,0.093
7.45,0.048
7.5,-0.001
7.55,-0.051
7.6,-0.095
7.65,-0.13
7.7,-0.15
7.75,-0.155
7.8,-0.144
7.85,-0.118
7.9,-0.08
7.95,-0.033
8,0.017
8.05,0.064
8.1,0.105
8.15,0.134
8.2,0.149
8.25,0.148
8.3,0.131
8.35,0.1
8.4,0.059
8.45,0.011
8.5,-0.038
8.55,-0.083
8.6,-0.119
8.65,-0.143
8.7,-0.151
8.75,-0.144
8.8,-0.123
8.85,-0.088
8.9,-0.044
8.95,0.004
9,0.051
9.05,0.093
9.1,0.124
9.15,0.143
9.2,0.145
9.25,0.133
9.3,0.106
9.35,0.068
9.4,0.023
9.45,-0.025
9.5,-0.07
9.55,-0.108
9.6,-0.135
9.65,-0.147
9.7,-0.144
9.75,-0.126
9.8,-0.095
9.85,-0.054
9.9,-0.008
9.95,0.039
10,0.081
10.05,0.114
10.1,0.136
10.15,0.143
10.2,0.134
10.25,0.111
10.3,0.077
10.35,0.034
10.4,-0.012
10.45,-0.058
10.5,-0.097
10.55,-0.126
10.6,-0.141
10.65,-0.143
10.7,-0.128
10.75,-0.101
10.8,-0.063
10.85,-0.019
10.9,0.026
10.95,0.069
11,0.104
11.05,0.128
11.1,0.138
11.15,0.134
11.2,0.115
11.25,0.084
11.3,0.044
11.35,-0.001
11.4,-0.046
11.45,-0.086
11.5,-0.116
11.55,-0.135
11.6,-0.14
11.65,-0.13
11.7,-0.107
11.75,-0.072
11.8,-0.03
11.85,0.015
11.9,0.057
11.95,0.094
12,0.12
12.05,0.133
12.1,0.133
12.15,0.117
12.2,0.09
12.25,0.053
12.3,0.01
12.35,-0.034
12.4,-0.075
12.45,-0.107
12.5,-0.128
12.55,-0.136
12.6,-0.13
12.65,-0.111
12.7,-0.079
12.75,-0.04
12.8,0.004
12.85,0.046
12.9,0.083
12.95,0.112
13,0.128
13.05,0.131
13.1,0.119
13.15,0.095
13.2,0.061
13.25,0.02
13.3,-0.023
13.35,-0.063
13.4,-0.097
13.45,-0.121
13.5,-0.132
13.55,-0.13
13.6,-0.114
13.65,-0.086
13.7,-0.049
13.75,-0.007
13.8,0.034
13.85,0.072
13.9,0.102
13.95,0.121
14,0.128
14.05,0.12
14.1,0.1
14.15,0.069
14.2,0.03
14.25,-0.011
14.3,-0.052
14.35,-0.087
14.4,-0.113
14.45,-0.127
